area,end_date,month,SPI
Bitterroot,1991-01-31,1,-0.018331194629684244
Bitterroot,1991-02-28,2,-0.14276269914518314
Bitterroot,1991-03-31,3,-0.05691394240311021
Bitterroot,1991-04-30,4,0.13026690748000713
Bitterroot,1991-05-31,5,0.2028587708659717
Bitterroot,1991-06-30,6,0.3372225750532247
Bitterroot,1991-07-31,7,-0.05172066625549454
Bitterroot,1991-08-31,8,0.13760844194784472
Bitterroot,1991-09-30,9,-0.09292133641153422
Bitterroot,1991-10-31,10,-0.07719579651245767
Bitterroot,1991-11-30,11,0.14882114887009545
Bitterroot,1991-12-31,12,0.1514563790234682
Bitterroot,1992-01-31,1,-0.22209892608247128
Bitterroot,1992-02-29,2,-0.32919248567821313
Bitterroot,1992-03-31,3,-0.6406446929597767
Bitterroot,1992-04-30,4,-0.7534966769298143
Bitterroot,1992-05-31,5,-0.8367070340538252
Bitterroot,1992-06-30,6,-0.7692006890968812
Bitterroot,1992-07-31,7,-0.6889594560597355
Bitterroot,1992-08-31,8,-0.45624502297172165
Bitterroot,1992-09-30,9,-0.5152074908737658
Bitterroot,1992-10-31,10,-0.7502682052166544
Bitterroot,1992-11-30,11,-0.5307528896771869
Bitterroot,1992-12-31,12,-0.5602413333407044
Bitterroot,1993-01-31,1,-0.9149908523663582
Bitterroot,1993-02-28,2,-0.9842731433389754
Bitterroot,1993-03-31,3,-1.0837389253004237
Bitterroot,1993-04-30,4,-1.010431941570138
Bitterroot,1993-05-31,5,-0.9025653347864155
Bitterroot,1993-06-30,6,-0.8686018818064991
Bitterroot,1993-07-31,7,-0.6394510701510049
Bitterroot,1993-08-31,8,-0.2636592187803839
Bitterroot,1993-09-30,9,-0.24773193555507067
Bitterroot,1993-10-31,10,-0.14524042687507133
Bitterroot,1993-11-30,11,-0.45141200183746255
Bitterroot,1993-12-31,12,-0.8401653643952786
Bitterroot,1994-01-31,1,-0.8931020539768093
Bitterroot,1994-02-28,2,-0.9096236553689555
Bitterroot,1994-03-31,3,-1.0511715487230187
Bitterroot,1994-04-30,4,-0.9745339975202193
Bitterroot,1994-05-31,5,-0.9195040499017114
Bitterroot,1994-06-30,6,-0.8050307077818595
Bitterroot,1994-07-31,7,-1.2665210054181877
Bitterroot,1994-08-31,8,-1.3012689720129544
Bitterroot,1994-09-30,9,-1.1158478777435707
Bitterroot,1994-10-31,10,-0.855145693557099
Bitterroot,1994-11-30,11,-0.41762479158567145
Bitterroot,1994-12-31,12,-0.7244388298117215
Bitterroot,1995-01-31,1,-0.747982381679301
Bitterroot,1995-02-28,2,-0.7288500010489879
Bitterroot,1995-03-31,3,-0.9539524407900616
Bitterroot,1995-04-30,4,-0.8472427342782752
Bitterroot,1995-05-31,5,-0.9984157432191061
Bitterroot,1995-06-30,6,-0.8569371964137247
Bitterroot,1995-07-31,7,-0.5675110301308508
Bitterroot,1995-08-31,8,-0.5677873352733365
Bitterroot,1995-09-30,9,-0.22058169794300242
Bitterroot,1995-10-31,10,0.1338242028575698
Bitterroot,1995-11-30,11,0.8083639978882344
Bitterroot,1995-12-31,12,0.5996864054086555
Bitterroot,1996-01-31,1,0.8920790627098543
Bitterroot,1996-02-29,2,0.9695613930410827
Bitterroot,1996-03-31,3,0.564886699916131
Bitterroot,1996-04-30,4,0.615440924701175
Bitterroot,1996-05-31,5,0.8852680122871459
Bitterroot,1996-06-30,6,0.8118809482516601
Bitterroot,1996-07-31,7,1.12171744329457
Bitterroot,1996-08-31,8,1.3989232568338856
Bitterroot,1996-09-30,9,1.4262537293085087
Bitterroot,1996-10-31,10,1.4367524022626763
Bitterroot,1996-11-30,11,1.598269257593142
Bitterroot,1996-12-31,12,2.1208598101742564
Bitterroot,1997-01-31,1,2.219003823253017
Bitterroot,1997-02-28,2,2.232821749280194
Bitterroot,1997-03-31,3,2.5565047422564877
Bitterroot,1997-04-30,4,2.640899495455945
Bitterroot,1997-05-31,5,2.6354107537657527
Bitterroot,1997-06-30,6,2.627913466667906
Bitterroot,1997-07-31,7,2.861700427398498
Bitterroot,1997-08-31,8,2.9966933436631065
Bitterroot,1997-09-30,9,3.2428991751763094
Bitterroot,1997-10-31,10,3.451218689970744
Bitterroot,1997-11-30,11,3.1410147208685575
Bitterroot,1997-12-31,12,2.9448397499087386
Bitterroot,1998-01-31,1,2.95093710672323
Bitterroot,1998-02-28,2,2.7082196557754608
Bitterroot,1998-03-31,3,2.5761852293951297
Bitterroot,1998-04-30,4,2.4732521066024002
Bitterroot,1998-05-31,5,2.404587603301059
Bitterroot,1998-06-30,6,2.5652282103886974
Bitterroot,1998-07-31,7,2.259947879072503
Bitterroot,1998-08-31,8,2.190736018542824
Bitterroot,1998-09-30,9,1.999250646642863
Bitterroot,1998-10-31,10,1.5042347929683066
Bitterroot,1998-11-30,11,1.8134239837997603
Bitterroot,1998-12-31,12,1.8483062680769267
Bitterroot,1999-01-31,1,1.6818591117527621
Bitterroot,1999-02-28,2,1.9684479826846792
Bitterroot,1999-03-31,3,2.1139502818110083
Bitterroot,1999-04-30,4,1.8556275805608746
Bitterroot,1999-05-31,5,1.745111692366393
Bitterroot,1999-06-30,6,1.7543275655828192
