area,end_date,month,SPI
Bitterroot,1991-01-31,1,0.09328190275145887
Bitterroot,1991-02-28,2,0.09189907725202673
Bitterroot,1991-03-31,3,-0.08790867414415193
Bitterroot,1991-04-30,4,0.1910951970894994
Bitterroot,1991-05-31,5,0.04710009461175124
Bitterroot,1991-06-30,6,0.15936295679599954
Bitterroot,1991-07-31,7,-0.055655077879875
Bitterroot,1991-08-31,8,0.021263688415871673
Bitterroot,1991-09-30,9,-0.0578226305201055
Bitterroot,1991-10-31,10,-0.5086352666099594
Bitterroot,1991-11-30,11,0.046164929652775966
Bitterroot,1991-12-31,12,0.12202267786804022
Bitterroot,1992-01-31,1,-0.27131931560633404
Bitterroot,1992-02-29,2,-0.2506483292494568
Bitterroot,1992-03-31,3,-0.7646128593470841
Bitterroot,1992-04-30,4,-0.7474861681235286
Bitterroot,1992-05-31,5,-0.7160682842102449
Bitterroot,1992-06-30,6,-0.8937303873581913
Bitterroot,1992-07-31,7,-0.909408004813975
Bitterroot,1992-08-31,8,-0.7277965742110516
Bitterroot,1992-09-30,9,-0.5988438507630764
Bitterroot,1992-10-31,10,-0.8610407586777026
Bitterroot,1992-11-30,11,-0.7367400354172697
Bitterroot,1992-12-31,12,-0.9096313286333918
Bitterroot,1993-01-31,1,-1.1543292432712962
Bitterroot,1993-02-28,2,-1.188673836434226
Bitterroot,1993-03-31,3,-1.1145416178160117
Bitterroot,1993-04-30,4,-0.7425811320502208
Bitterroot,1993-05-31,5,-0.7298694392880881
Bitterroot,1993-06-30,6,-0.5507525192472826
Bitterroot,1993-07-31,7,-0.2659357589804261
Bitterroot,1993-08-31,8,-0.12960510024517147
Bitterroot,1993-09-30,9,-0.13136851173307051
Bitterroot,1993-10-31,10,-0.17475421868085905
Bitterroot,1993-11-30,11,-0.4928603183421212
Bitterroot,1993-12-31,12,-0.6353691226212534
Bitterroot,1994-01-31,1,-1.0850135616808645
Bitterroot,1994-02-28,2,-0.9792695119149355
Bitterroot,1994-03-31,3,-0.8703169013470243
Bitterroot,1994-04-30,4,-0.703025720423463
Bitterroot,1994-05-31,5,-0.3777289952753202
Bitterroot,1994-06-30,6,-0.5636444806981682
Bitterroot,1994-07-31,7,-0.32857610584736996
Bitterroot,1994-08-31,8,-0.40097126030282815
Bitterroot,1994-09-30,9,-0.791407666971338
Bitterroot,1994-10-31,10,-0.6331508880483503
Bitterroot,1994-11-30,11,-0.6918283344773425
Bitterroot,1994-12-31,12,-0.738202451875144
Bitterroot,1995-01-31,1,-0.9645377633122141
Bitterroot,1995-02-28,2,-1.0464069828478806
Bitterroot,1995-03-31,3,-0.8227450819390237
Bitterroot,1995-04-30,4,-0.575250496522943
Bitterroot,1995-05-31,5,-0.5241357628106731
Bitterroot,1995-06-30,6,-0.6965444018333516
Bitterroot,1995-07-31,7,-0.34169233724838954
Bitterroot,1995-08-31,8,-0.5960779752018546
Bitterroot,1995-09-30,9,-0.798241275936736
Bitterroot,1995-10-31,10,-0.7556626468418736
Bitterroot,1995-11-30,11,0.07073105294444026
Bitterroot,1995-12-31,12,0.09093895138804697
Bitterroot,1996-01-31,1,0.7319321041267468
Bitterroot,1996-02-29,2,1.3797609699052793
Bitterroot,1996-03-31,3,1.2707439083991836
Bitterroot,1996-04-30,4,1.4974407118381707
Bitterroot,1996-05-31,5,1.7840386725850486
Bitterroot,1996-06-30,6,1.6963868041390584
Bitterroot,1996-07-31,7,1.6695075911876012
Bitterroot,1996-08-31,8,1.6704250444879492
Bitterroot,1996-09-30,9,1.7179317533010705
Bitterroot,1996-10-31,10,1.7853454928609875
Bitterroot,1996-11-30,11,1.9848605495264033
Bitterroot,1996-12-31,12,2.4083689410625477
Bitterroot,1997-01-31,1,2.4302539090063116
Bitterroot,1997-02-28,2,2.5955625497494705
Bitterroot,1997-03-31,3,3.048832798636375
Bitterroot,1997-04-30,4,3.2412074557546666
Bitterroot,1997-05-31,5,2.968422896594286
Bitterroot,1997-06-30,6,3.0760699101922677
Bitterroot,1997-07-31,7,3.3430324458146283
Bitterroot,1997-08-31,8,3.2704221342101896
Bitterroot,1997-09-30,9,3.1715327012770365
Bitterroot,1997-10-31,10,3.1337707139303923
Bitterroot,1997-11-30,11,2.904734818414499
Bitterroot,1997-12-31,12,2.5282638303773752
Bitterroot,1998-01-31,1,1.9513363391818879
Bitterroot,1998-02-28,2,1.7997993004721202
Bitterroot,1998-03-31,3,1.483344114076941
Bitterroot,1998-04-30,4,1.1562046987301229
Bitterroot,1998-05-31,5,1.3894135009029633
Bitterroot,1998-06-30,6,1.508563277154439
Bitterroot,1998-07-31,7,1.5067739445794448
Bitterroot,1998-08-31,8,1.5545028979672257
Bitterroot,1998-09-30,9,1.783441003127934
Bitterroot,1998-10-31,10,1.5253409576035
Bitterroot,1998-11-30,11,1.7549034643422572
Bitterroot,1998-12-31,12,1.9354075055168225
Bitterroot,1999-01-31,1,1.9144902520790736
Bitterroot,1999-02-28,2,1.558510301093896
Bitterroot,1999-03-31,3,1.3518916144415727
Bitterroot,1999-04-30,4,1.1540214483063842
Bitterroot,1999-05-31,5,0.8464601585283362
Bitterroot,1999-06-30,6,0.808113794098662
Bitterroot,1999-07-31,7,0.8119789183358768
Bitterroot,1999-08-31,8,0.8989208375282634
Bitterroot,1999-09-30,9,0.6094204042131408
Bitterroot,1999-10-31,10,0.38706364550056716
Bitterroot,1999-11-30,11,0.35212331504551253
Bitterroot,1999-12-31,12,0.2846035403558467
Bitterroot,2000-01-31,1,0.4934289009570567
Bitterroot,2000-02-29,2,0.7169217223566332
Bitterroot,2000-03-31,3,0.5324271716579345
Bitterroot,2000-04-30,4,0.5929033317511359
Bitterroot,2000-05-31,5,0.6449047847162425
Bitterroot,2000-06-30,6,0.4868051823226509
Bitterroot,2000-07-31,7,0.28141480390324447
Bitterroot,2000-08-31,8,-0.15415109761233636
Bitterroot,2000-09-30,9,-0.24845726344648522
Bitterroot,2000-10-31,10,0.04897267921837578
Bitterroot,2000-11-30,11,-0.36902408162854794
Bitterroot,2000-12-31,12,-0.42177709292735366
Bitterroot,2001-01-31,1,-1.079574503181818
Bitterroot,2001-02-28,2,-1.5226059457480736
Bitterroot,2001-03-31,3,-1.7658048279724845
Bitterroot,2001-04-30,4,-2.1263588260337403
Bitterroot,2001-05-31,5,-2.0571371214351553
Bitterroot,2001-06-30,6,-1.7133942266853694
Bitterroot,2001-07-31,7,-1.5782071062672016
Bitterroot,2001-08-31,8,-1.7190000725651005
Bitterroot,2001-09-30,9,-1.7753950156462932
Bitterroot,2001-10-31,10,-1.5377596120043049
Bitterroot,2001-11-30,11,-1.6855454479757523
Bitterroot,2001-12-31,12,-1.5212889447817903
Bitterroot,2002-01-31,1,-1.4276426570961678
Bitterroot,2002-02-28,2,-1.7714651458316946
Bitterroot,2002-03-31,3,-1.8148752086223081
Bitterroot,2002-04-30,4,-1.9416133780521325
Bitterroot,2002-05-31,5,-1.6045047374080803
Bitterroot,2002-06-30,6,-1.3882691598053254
Bitterroot,2002-07-31,7,-1.3887787466465795
Bitterroot,2002-08-31,8,-1.0958783879398635
Bitterroot,2002-09-30,9,-1.088533047255059
Bitterroot,2002-10-31,10,-1.167094481865978
Bitterroot,2002-11-30,11,-1.5116907997731137
Bitterroot,2002-12-31,12,-1.9432426327103702
Bitterroot,2003-01-31,1,-1.350028573368855
Bitterroot,2003-02-28,2,-0.9740336688807162
Bitterroot,2003-03-31,3,-0.03131388125890466
Bitterroot,2003-04-30,4,0.06182903788782723
Bitterroot,2003-05-31,5,0.2055933851826559
Bitterroot,2003-06-30,6,-0.004689860032249804
Bitterroot,2003-07-31,7,0.08683202291046066
Bitterroot,2003-08-31,8,-0.09225663477036594
Bitterroot,2003-09-30,9,-0.25728653089284226
Bitterroot,2003-10-31,10,-0.18139404972176698
Bitterroot,2003-11-30,11,0.038212674989352324
Bitterroot,2003-12-31,12,-0.19647248653823746
Bitterroot,2004-01-31,1,0.09787741990563847
Bitterroot,2004-02-29,2,-0.04453650781653273
Bitterroot,2004-03-31,3,-0.2804428447107332
Bitterroot,2004-04-30,4,-0.2705423004628875
Bitterroot,2004-05-31,5,0.05606966026456606
Bitterroot,2004-06-30,6,-0.010563977190215512
Bitterroot,2004-07-31,7,-0.059371427188590786
Bitterroot,2004-08-31,8,0.10776235026701042
Bitterroot,2004-09-30,9,0.3808697168171855
Bitterroot,2004-10-31,10,0.16486797192540026
Bitterroot,2004-11-30,11,-0.0048896532210129795
Bitterroot,2004-12-31,12,0.07676187364969111
Bitterroot,2005-01-31,1,0.07859606413508358
Bitterroot,2005-02-28,2,-0.046032860556534994
Bitterroot,2005-03-31,3,-0.3386903391656495
Bitterroot,2005-04-30,4,-0.463144263392979
Bitterroot,2005-05-31,5,-0.8514811379477721
Bitterroot,2005-06-30,6,-0.7295791035828836
Bitterroot,2005-07-31,7,-0.9102897804654521
Bitterroot,2005-08-31,8,-0.7301975825826444
Bitterroot,2005-09-30,9,-0.6179975515433922
Bitterroot,2005-10-31,10,-0.6730069482517567
Bitterroot,2005-11-30,11,-0.4533992212645994
Bitterroot,2005-12-31,12,-0.3570105798067591
Bitterroot,2006-01-31,1,-0.23983239751883723
Bitterroot,2006-02-28,2,-0.3223883171596398
Bitterroot,2006-03-31,3,-0.43338471462829675
Bitterroot,2006-04-30,4,-0.24314281375650393
Bitterroot,2006-05-31,5,-0.16445535022369184
Bitterroot,2006-06-30,6,-0.05835623782330468
Bitterroot,2006-07-31,7,-0.49590963934526355
Bitterroot,2006-08-31,8,-0.4486866973051391
Bitterroot,2006-09-30,9,-0.43434477665558435
Bitterroot,2006-10-31,10,-0.7089294565452633
Bitterroot,2006-11-30,11,-0.6376307193174967
Bitterroot,2006-12-31,12,-0.5689243761019798
Bitterroot,2007-01-31,1,-0.4687600633097173
Bitterroot,2007-02-28,2,-0.24699091847416654
Bitterroot,2007-03-31,3,-0.18219289953443885
Bitterroot,2007-04-30,4,0.06395377715934902
Bitterroot,2007-05-31,5,0.19389154107896434
Bitterroot,2007-06-30,6,0.08253944816247727
Bitterroot,2007-07-31,7,-0.11659593258150558
Bitterroot,2007-08-31,8,-0.3367696590427016
Bitterroot,2007-09-30,9,-0.11351904438876659
Bitterroot,2007-10-31,10,0.07073690904572616
Bitterroot,2007-11-30,11,0.002561823200275759
Bitterroot,2007-12-31,12,0.28854038817369343
