area,end_date,month,SPI
Bitterroot,1991-01-31,1,0.39159683182815597
Bitterroot,1991-02-28,2,-0.11751509896367929
Bitterroot,1991-03-31,3,0.08511315750412085
Bitterroot,1991-04-30,4,-0.008963067365057142
Bitterroot,1991-05-31,5,0.2395366993915009
Bitterroot,1991-06-30,6,0.08889675585787282
Bitterroot,1991-07-31,7,0.05931484353944505
Bitterroot,1991-08-31,8,-0.07687223988001435
Bitterroot,1991-09-30,9,-0.048417061779850945
Bitterroot,1991-10-31,10,-0.24455385962755805
Bitterroot,1991-11-30,11,-0.06256523290098781
Bitterroot,1991-12-31,12,-0.018283645429938433
Bitterroot,1992-01-31,1,-0.17579599743951113
Bitterroot,1992-02-29,2,-0.4616940870729578
Bitterroot,1992-03-31,3,-0.5531175364993399
Bitterroot,1992-04-30,4,-0.634193545318305
Bitterroot,1992-05-31,5,-0.9445345290413861
Bitterroot,1992-06-30,6,-0.7798442428164452
Bitterroot,1992-07-31,7,-0.6771681514923119
Bitterroot,1992-08-31,8,-0.8848414579538997
Bitterroot,1992-09-30,9,-0.5762438429690082
Bitterroot,1992-10-31,10,-0.7455002532908206
Bitterroot,1992-11-30,11,-0.8681417717088264
Bitterroot,1992-12-31,12,-0.6422763059783876
Bitterroot,1993-01-31,1,-1.0692771484538768
Bitterroot,1993-02-28,2,-1.3471138501454902
Bitterroot,1993-03-31,3,-1.2466969077458787
Bitterroot,1993-04-30,4,-0.9306191819893412
Bitterroot,1993-05-31,5,-0.7689353457210539
Bitterroot,1993-06-30,6,-0.44345955352112854
Bitterroot,1993-07-31,7,-0.21163868129345587
Bitterroot,1993-08-31,8,-0.07421877865205517
Bitterroot,1993-09-30,9,-0.2352526368866823
Bitterroot,1993-10-31,10,-0.22804477645507637
Bitterroot,1993-11-30,11,-0.5360187215293428
Bitterroot,1993-12-31,12,-0.7760044939029835
Bitterroot,1994-01-31,1,-0.6498751767703534
Bitterroot,1994-02-28,2,-1.0100364240738524
Bitterroot,1994-03-31,3,-1.2031624612778744
Bitterroot,1994-04-30,4,-0.875696312781724
Bitterroot,1994-05-31,5,-0.6952486444414998
Bitterroot,1994-06-30,6,-0.4037978290513866
Bitterroot,1994-07-31,7,-0.5704630510420696
Bitterroot,1994-08-31,8,-0.43481291693139124
Bitterroot,1994-09-30,9,-0.549544900953937
Bitterroot,1994-10-31,10,-0.6865052997459016
Bitterroot,1994-11-30,11,-0.5162530777681464
Bitterroot,1994-12-31,12,-0.8336032775229594
Bitterroot,1995-01-31,1,-0.9948014069589242
Bitterroot,1995-02-28,2,-0.9455876295908016
Bitterroot,1995-03-31,3,-1.037877671417592
Bitterroot,1995-04-30,4,-0.7694384875603995
Bitterroot,1995-05-31,5,-0.5766207387291085
Bitterroot,1995-06-30,6,-0.4805690260559734
Bitterroot,1995-07-31,7,-0.40879957028629965
Bitterroot,1995-08-31,8,-0.271737976932817
Bitterroot,1995-09-30,9,-0.4334098066288008
Bitterroot,1995-10-31,10,-0.6160370376020234
Bitterroot,1995-11-30,11,-0.01470182002492848
Bitterroot,1995-12-31,12,0.01412780276342862
Bitterroot,1996-01-31,1,0.35485958783769544
Bitterroot,1996-02-29,2,1.0776429067950286
Bitterroot,1996-03-31,3,1.248599021190134
Bitterroot,1996-04-30,4,1.5060251108098748
Bitterroot,1996-05-31,5,1.6471342767588157
Bitterroot,1996-06-30,6,1.659590142365534
Bitterroot,1996-07-31,7,1.631198751885583
Bitterroot,1996-08-31,8,1.6469580544486715
Bitterroot,1996-09-30,9,1.6894931510771296
Bitterroot,1996-10-31,10,1.7473307429317342
Bitterroot,1996-11-30,11,1.8384164402558425
Bitterroot,1996-12-31,12,2.4192741267459312
Bitterroot,1997-01-31,1,2.4473300659120794
Bitterroot,1997-02-28,2,2.391763278521611
Bitterroot,1997-03-31,3,2.8533301083023233
Bitterroot,1997-04-30,4,3.1540515628800754
Bitterroot,1997-05-31,5,3.057050681622136
Bitterroot,1997-06-30,6,3.050474377078018
Bitterroot,1997-07-31,7,3.301128934743919
Bitterroot,1997-08-31,8,3.2960116215601873
Bitterroot,1997-09-30,9,3.3540500461687737
Bitterroot,1997-10-31,10,3.3185621869018616
Bitterroot,1997-11-30,11,2.9897977859510325
Bitterroot,1997-12-31,12,2.593266794589103
Bitterroot,1998-01-31,1,2.4943391712070553
Bitterroot,1998-02-28,2,1.7055744207156223
Bitterroot,1998-03-31,3,1.7644239426403634
Bitterroot,1998-04-30,4,1.5157992957138249
Bitterroot,1998-05-31,5,1.2402036033483637
Bitterroot,1998-06-30,6,1.6906116727815002
Bitterroot,1998-07-31,7,1.7127600003374424
Bitterroot,1998-08-31,8,1.3787418935020432
Bitterroot,1998-09-30,9,1.6549571571654762
Bitterroot,1998-10-31,10,1.6038330608081661
Bitterroot,1998-11-30,11,1.7475329254101548
Bitterroot,1998-12-31,12,1.9088121988591193
Bitterroot,1999-01-31,1,1.9282356356679826
Bitterroot,1999-02-28,2,2.0307274712506476
Bitterroot,1999-03-31,3,1.5234394133026279
Bitterroot,1999-04-30,4,1.1643134354564655
Bitterroot,1999-05-31,5,1.0487326771597103
Bitterroot,1999-06-30,6,0.8676326011447909
